(196, 179, 195, 179),black
(195, 179, 195, 178),black
(195, 178, 195, 177),black
(195, 177, 195, 176),black
(195, 176, 195, 175),black
(195, 175, 196, 175),black
(196, 175, 197, 173),black
(197, 173, 198, 172),black
(198, 172, 200, 170),black
(200, 170, 201, 169),black
(201, 169, 203, 167),black
(203, 167, 206, 164),black
(206, 164, 207, 163),black
(207, 163, 210, 160),black
(210, 160, 212, 158),black
(212, 158, 214, 157),black
(214, 157, 215, 155),black
(215, 155, 217, 155),black
(217, 155, 219, 153),black
(219, 153, 220, 152),black
(220, 152, 223, 152),black
(223, 152, 223, 150),black
(223, 150, 225, 150),black
(225, 150, 227, 149),black
(227, 149, 228, 148),black
(228, 148, 230, 147),black
(230, 147, 232, 147),black
(232, 147, 234, 146),black
(234, 146, 236, 145),black
(236, 145, 238, 145),black
(238, 145, 240, 145),black
(240, 145, 243, 145),black
(243, 145, 246, 144),black
(246, 144, 248, 144),black
(248, 144, 251, 143),black
(251, 143, 255, 143),black
(255, 143, 256, 143),black
(256, 143, 260, 143),black
(260, 143, 264, 144),black
(264, 144, 268, 145),black
(268, 145, 272, 146),black
(272, 146, 274, 147),black
(274, 147, 278, 148),black
(278, 148, 284, 150),black
(284, 150, 288, 151),black
(288, 151, 291, 152),black
(291, 152, 297, 154),black
(297, 154, 302, 157),black
(302, 157, 304, 158),black
(304, 158, 307, 160),black
(307, 160, 309, 162),black
(309, 162, 312, 165),black
(312, 165, 315, 168),black
(315, 168, 318, 171),black
(318, 171, 321, 175),black
(321, 175, 323, 179),black
(323, 179, 325, 183),black
(325, 183, 327, 188),black
(327, 188, 329, 193),black
(329, 193, 330, 196),black
(330, 196, 331, 199),black
(331, 199, 332, 203),black
(332, 203, 333, 206),black
(333, 206, 333, 209),black
(333, 209, 333, 211),black
(333, 211, 333, 215),black
(333, 215, 333, 217),black
(333, 217, 333, 220),black
(333, 220, 333, 221),black
(333, 221, 333, 224),black
(333, 224, 333, 226),black
(333, 226, 333, 228),black
(333, 228, 332, 232),black
(332, 232, 331, 234),black
(331, 234, 330, 235),black
(330, 235, 329, 237),black
(329, 237, 328, 239),black
(328, 239, 326, 241),black
(326, 241, 326, 242),black
(326, 242, 325, 242),black
(325, 242, 324, 243),black
(324, 243, 323, 243),black
(323, 243, 322, 244),black
(322, 244, 321, 245),black
(321, 245, 320, 245),black
(320, 245, 318, 245),black
(318, 245, 317, 246),black
(317, 246, 316, 246),black
(316, 246, 315, 247),black
(315, 247, 313, 247),black
(313, 247, 311, 247),black
(311, 247, 309, 247),black
(309, 247, 306, 247),black
(306, 247, 303, 247),black
(303, 247, 299, 247),black
(299, 247, 296, 247),black
(296, 247, 291, 247),black
(291, 247, 288, 247),black
(288, 247, 283, 247),black
(283, 247, 278, 247),black
(278, 247, 275, 247),black
(275, 247, 271, 247),black
(271, 247, 270, 247),black
(270, 247, 268, 247),black
(268, 247, 264, 247),black
(264, 247, 263, 247),black
(263, 247, 261, 247),black
(261, 247, 259, 247),black
(259, 247, 257, 246),black
(257, 246, 254, 245),black
(254, 245, 252, 245),black
(252, 245, 250, 244),black
(250, 244, 249, 243),black
(249, 243, 247, 242),black
(247, 242, 245, 242),black
(245, 242, 244, 241),black
(244, 241, 242, 240),black
(242, 240, 241, 240),black
(241, 240, 239, 239),black
(239, 239, 237, 237),black
(237, 237, 236, 237),black
(236, 237, 235, 235),black
(235, 235, 233, 234),black
(233, 234, 233, 233),black
(233, 233, 231, 233),black
(231, 233, 230, 231),black
